library,sample,sample_type,sort_bin,concentration,date,number_cells,R1
lib47_SARSr-wts,tri_02_bin4,tri,4,2,220411,324800,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s23_b4_S24_R1_001.fastq.gz
lib47_SARSr-wts,tri_03_bin1,tri,1,3,220411,70789,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s24_b1_S25_R1_001.fastq.gz
lib47_SARSr-wts,tri_03_bin2,tri,2,3,220411,441129,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s24_b2_S26_R1_001.fastq.gz
lib47_SARSr-wts,tri_03_bin3,tri,3,3,220411,579028,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s24_b3_S27_R1_001.fastq.gz
lib47_SARSr-wts,tri_03_bin4,tri,4,3,220411,16400,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s24_b4_S28_R1_001.fastq.gz
lib47_SARSr-wts,tri_04_bin1,tri,1,4,220411,285652,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s25_b1_S29_R1_001.fastq.gz
lib47_SARSr-wts,tri_04_bin2,tri,2,4,220411,615594,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s25_b2_S30_R1_001.fastq.gz
lib47_SARSr-wts,tri_04_bin3,tri,3,4,220411,142707,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s25_b3_S31_R1_001.fastq.gz
lib47_SARSr-wts,tri_04_bin4,tri,4,4,220411,12,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s25_b4_S32_R1_001.fastq.gz
lib47_SARSr-wts,tri_05_bin1,tri,1,5,220411,1022116,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b1_S65_R1_001.fastq.gz
lib47_SARSr-wts,tri_05_bin2,tri,2,5,220411,36481,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b2_S66_R1_001.fastq.gz
lib47_SARSr-wts,tri_05_bin3,tri,3,5,220411,26,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b3_S67_R1_001.fastq.gz
lib47_SARSr-wts,tri_05_bin4,tri,4,5,220411,12,/shared/ngs/illumina/tstarr/220426_VH00699_109_AAAYMNYM5/Unaligned/Project_tstarr/220411_s34_b4_S68_R1_001.fastq.gz
lib47_SARSr-wts,SARS2mono_01_bin1,SARS2mono,1,1,220411,3860,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s26_b1_S33_R1_001.fastq.gz
lib47_SARSr-wts,SARS2mono_01_bin2,SARS2mono,2,1,220411,40856,/shared/ngs/illumina/tstarr/220427_VH00319_200_AAATTVLM5/Unaligned/Project_tstarr/220411_s26_b2_S34_R1_001.fastq.gz
